# ----------------------------------------
# diski
# Copy_Code_Comparison-Free form 1
# 20260330-20260428
# ----------------------------------------

event_label_Dimension_name	Event count
search_typing_abour	8
search_typing_alber	8
search_typing_alva	8
search_typing_babyb	8
search_typing_bels	8
search_typing_bests	8
search_typing_bodyf	8
search_typing_coach	8
search_typing_deno	8
search_typing_deon	8
search_typing_deonl	8
search_typing_dhgat	8
search_typing_dootj	8
search_typing_farma	8
search_typing_fiets	8
search_typing_getyo	8
search_typing_geurw	8
search_typing_glow	8
search_typing_goedg	8
search_typing_hards	8
search_typing_https	8
search_typing_kruit	8
search_typing_lapip	8
search_typing_lasht	8
search_typing_lasis	8
search_typing_livef	8
search_typing_malal	8
search_typing_marc	8
search_typing_marie	8
search_typing_megam	8
search_typing_minto	8
search_typing_missm	8
search_typing_myhe	8
search_typing_myjee	8
search_typing_newa	8
search_typing_ninep	8
search_typing_omofa	8
search_typing_onceu	8
search_typing_one2t	8
search_typing_ordin	8
search_typing_peppe	8
search_typing_phili	8
search_typing_reser	8
search_typing_saint	8
search_typing_schoe	8
search_typing_shopa	8
search_typing_skims	8
search_typing_stori	8
search_typing_story	8
search_typing_topbl	8
search_typing_under	8
search_typing_vanti	8
search_typing_waspa	8
teveo	8
vitaminfit.eu	8
airalo.com	7
bolbanner_dagelijkseinkopen	7
bstn.com	7
canalplus	7
cleannutrition	7
clubrepublique	7
comp_codes_aff_open_bellobox.nl	7
comp_codes_aff_open_bstn.com	7
comp_codes_aff_open_emmasleepnl	7
comp_codes_aff_open_marie-stella-maris	7
comp_codes_aff_open_ninjakitchen	7
comp_codes_aff_open_weekday	7
decantalo	7
dilling	7
doreandrose	7
flinders	7
giftcard_inmodal_stronger	7
giftcards_page_loavies	7
giftcards_page_sorting-alphabetical	7
guess	7
kayasieraden	7
loftymanner	7
madeformoments	7
madurodam	7
muchachomalo	7
nelly	7
next	7
partydeco.nl	7
prijsvergelijker_homepage_apple_iphone_16	7
prikbord_linkje	7
search_typing_aberc	7
search_typing_actio	7
search_typing_airu	7
search_typing_all4r	7
search_typing_amazi	7
search_typing_aqli	7
search_typing_asoso	7
search_typing_baby	7
search_typing_bersc	7
search_typing_bodys	7
search_typing_color	7
search_typing_derya	7
search_typing_desen	7
search_typing_dilli	7
search_typing_elvou	7
search_typing_essen	7
search_typing_garmi	7
search_typing_guess	7
search_typing_ilove	7
search_typing_intra	7
search_typing_kost	7
search_typing_lapi	7
search_typing_leol	7
search_typing_liver	7
search_typing_loave	7
search_typing_mante	7
search_typing_maryn	7
search_typing_massi	7
search_typing_meant	7
search_typing_mobie	7
search_typing_moetw	7
search_typing_myha	7
search_typing_nelly	7
search_typing_odure	7
search_typing_othe	7
search_typing_prote	7
search_typing_ralph	7
search_typing_schei	7
search_typing_sheen	7
search_typing_shoes	7
search_typing_stelt	7
search_typing_vana	7
search_typing_wehla	7
search_typing_wheka	7
search_typing_your	7
search_typing_zone2	7
sharecode_lookfantastic	7
sharecode_nakd	7
subdued	7
tennis-point.nl	7
action	6
arket	6
bellobox.nl	6
bijoubrigitte	6
comp_codes_aff_open_charlottetilbury	6
comp_codes_aff_open_flinders	6
comp_codes_aff_open_parfumdreams.nl	6
comp_codes_aff_open_salontopper	6
comp_codes_aff_open_schuurman schoenen	6
curlysecret	6
essenzahome	6
giftcard_companypage_table_hunkemoller	6
giftcard_companypage_table_stronger	6
giftcard_inmodal_dutchies.com	6
giftcard_inmodal_esn	6
giftcards_page_douglas	6
giftcards_page_myjewellery	6
giftcards_page_stradivarius	6
jhpfashion.nl	6
joom	6
leopoldvienna	6
littledutch	6
mepal	6
mockberg	6
moostwanted	6
nameit	6
philips lumea	6
photowall_sweden	6
search_typing_airfo	6
search_typing_bakto	6
search_typing_bever	6
search_typing_byba	6
search_typing_cand	6
search_typing_clean	6
search_typing_coren	6
search_typing_cultb	6
search_typing_dest	6
search_typing_dille	6
search_typing_douga	6
search_typing_duinr	6
search_typing_euros	6
search_typing_flaat	6
search_typing_flind	6
search_typing_fotof	6
search_typing_glowa	6
search_typing_gooss	6
search_typing_hando	6
search_typing_hipvo	6
search_typing_kamer	6
search_typing_kidsb	6
search_typing_koffi	6
search_typing_krefe	6
search_typing_lash	6
search_typing_lasi	6
search_typing_lofty	6
search_typing_marci	6
search_typing_match	6
search_typing_menya	6
search_typing_mimam	6
search_typing_msmod	6
search_typing_myjuw	6
search_typing_naakt	6
search_typing_omkda	6
search_typing_otens	6
search_typing_phomo	6
search_typing_pierc	6
search_typing_plays	6
search_typing_pocki	6
search_typing_podim	6
search_typing_polar	6
search_typing_qpark	6
search_typing_river	6
search_typing_runni	6
search_typing_shabu	6
search_typing_sheun	6
search_typing_subdu	6
search_typing_tapes	6
search_typing_theg	6
search_typing_tommy	6
search_typing_topdo	6
search_typing_tote	6
search_typing_trans	6
search_typing_tte	6
search_typing_tuinm	6
search_typing_ultim	6
search_typing_vloer	6
search_typing_walra	6
search_typing_white	6
sharecode_paulaschoice.nl	6
smartphoto.nl	6
waterdrop	6
womensbest	6
atmooz.com	5
babydrogist	5
bolbanner_dagelijkseverzorging	5
comp_codes_aff_open_hollandandbarrett	5
comp_codes_aff_open_ibood	5
comp_codes_aff_open_jbl	5
comp_codes_aff_open_levis	5
comp_codes_aff_open_manfield	5
comp_codes_aff_open_newbalance	5
comp_codes_aff_open_rienthelabel	5
comp_codes_aff_open_smartphoto.nl	5
comp_codes_aff_open_underarmour	5
comp_codes_aff_open_vitaminenoprecept	5
epplejeck	5
fietsparadijs	5
fitjeans.com	5
giftcard_companypage_table_prenatal	5
giftcard_inmodal_gutsgusto	5
giftcard_inmodal_kruidvat	5
giftcard_inmodal_picnic	5
haarliefjes	5
halara	5
kossonutrition.nl	5
malelions	5
marie-stella-maris	5
moodsgellac	5
msmode	5
neonail	5
olivida.nl	5
orangefit	5
prijsvergelijker_homepage_apple_airpods_4	5
prijsvergelijker_homepage_apple_airpods_max	5
printabout	5
proglow	5
search_typing_airal	5
search_typing_aliee	5
search_typing_alvaa	5
search_typing_arte	5
search_typing_ateli	5
search_typing_babyl	5
search_typing_bamig	5
search_typing_bello	5
search_typing_best	5
search_typing_bewus	5
search_typing_blijk	5
search_typing_bloem	5
search_typing_braba	5
search_typing_bruut	5
search_typing_cabay	5
search_typing_canva	5
search_typing_chasi	5
search_typing_class	5
search_typing_clubr	5
search_typing_cult	5
search_typing_denot	5
search_typing_digla	5
search_typing_dream	5
search_typing_easy	5
search_typing_edel	5
search_typing_eliza	5
search_typing_fabie	5
search_typing_flooq	5
search_typing_foodl	5
search_typing_fotoc	5
search_typing_four	5
search_typing_freeb	5
search_typing_futur	5
search_typing_gall	5
search_typing_gigam	5
search_typing_gstar	5
search_typing_kiabi	5
search_typing_kidsd	5
search_typing_koopj	5
search_typing_korti	5
search_typing_kraam	5
search_typing_kwamt	5
search_typing_lare	5
search_typing_lesj	5
search_typing_loavj	5
search_typing_love	5
search_typing_lunaf	5
search_typing_mangi	5
search_typing_marvi	5
search_typing_mepal	5
search_typing_merce	5
search_typing_meshk	5
search_typing_metod	5
search_typing_minte	5
search_typing_moost	5
search_typing_musth	5
search_typing_mythe	5
search_typing_namei	5
search_typing_newam	5
search_typing_newc	5
search_typing_newph	5
search_typing_nike	5
search_typing_nudie	5
search_typing_nuje	5
search_typing_oliva	5
search_typing_once	5
search_typing_only	5
search_typing_path	5
search_typing_peps	5
search_typing_play	5
search_typing_pure	5
search_typing_refin	5
search_typing_revol	5
search_typing_ryana	5
search_typing_samak	5
search_typing_saren	5
search_typing_sepho	5
search_typing_sezan	5
search_typing_sheij	5
search_typing_shie	5
search_typing_showp	5
search_typing_shrin	5
search_typing_sirok	5
search_typing_sizz	5
search_typing_snupe	5
search_typing_socce	5
search_typing_stlz	5
search_typing_sweee	5
search_typing_swim	5
search_typing_swime	5
search_typing_thedt	5
search_typing_ttel	5
search_typing_vanas	5
search_typing_vanl	5
search_typing_vedde	5
search_typing_viav	5
search_typing_viava	5
search_typing_vista	5
search_typing_wehkm	5
search_typing_wekam	5
search_typing_zappl	5
search_typing_zeeva	5
search_typing_zelfs	5
search_typing_zinzi	5
sharecode_spacenk.com	5
shoesme	5
superdry	5
top5_Bol.com	5
tuinmeubelshop.nl	5
underarmour	5
youngla	5
123jaloezie.nl	4
3bearsporridge	4
4seizoenentuinmeubelen	4
bamigo	4
calliegifts	4
cherystyle.nl	4
cluse	4
comp_codes_aff_open_achateshop.com	4
comp_codes_aff_open_babydrogist	4
comp_codes_aff_open_boohoo	4
comp_codes_aff_open_dyson	4
comp_codes_aff_open_kaptenandson	4
comp_codes_aff_open_nelsonschoenen	4
comp_codes_aff_open_only	4
comp_codes_aff_open_praxis	4
comp_codes_aff_open_vidaxl	4
cookandpan	4
dreaver	4
drukwerknodig	4
elvou	4
fitpiggy.nl	4
fittasticsportswear	4
fotocadeau.nl	4
giftcard_companypage_table_leolive	4
giftcard_inmodal_arket	4
giftcard_inmodal_prenatal	4
giftcards_page_cashback_h&m	4
hippegeboortekaartjes	4
holafly	4
hyrox	4
jeuliajewelry	4
keepitsneaker	4
klense.nl	4
labelish	4
lalousieraden	4
lucovitaal	4
melanojewelry	4
melloamsterdam	4
nextextreme	4
oneractive	4
poelmanbrands	4
prijsvergelijker_homepage_amazon_kindle_scribe	4
samakocleaning	4
search_typing_ahead	4
search_typing_airf	4
search_typing_alan	4
search_typing_aland	4
search_typing_anna	4
search_typing_annad	4
search_typing_aqliv	4
search_typing_avout	4
search_typing_balib	4
search_typing_belia	4
search_typing_belli	4
search_typing_biyu	4
search_typing_bolx	4
search_typing_burgs	4
search_typing_buvan	4
search_typing_bykie	4
search_typing_canda	4
search_typing_cauda	4
search_typing_cetti	4
search_typing_claud	4
search_typing_clear	4
search_typing_coldc	4
search_typing_corto	4
search_typing_cotte	4
search_typing_danat	4
search_typing_desti	4
search_typing_disne	4
search_typing_doggu	4
search_typing_dougk	4
search_typing_drank	4
search_typing_dreav	4
search_typing_dress	4
search_typing_drukw	4
search_typing_eddys	4
search_typing_eduar	4
search_typing_ellem	4
search_typing_eminz	4
search_typing_exper	4
search_typing_fasio	4
search_typing_fitje	4
search_typing_flyin	4
search_typing_freep	4
search_typing_ginar	4
